EC;M;T;CO;W;TM;S;F;Classes;;;;;;;
-0,999742171;0,014115458;-0,178571429;-0,586206897;5,833333333;0,096069869;-0,925;26,53164557;A;;;;;;;
-0,999714215;0,125664202;-0,285714286;1,448275862;-0,833333333;0,065502183;-0,95;21,01265823;A;;;;;;;
-0,999866459;-0,202138828;-0,178571429;0,310344828;9,5;-0,860262009;-0,8125;15,51898734;A;;;;;;;
-0,999953618;-0,08995167;0,214285714;-0,862068966;-0,333333333;-1,034934498;-0,975;19,06329114;A;;;;;;;
-0,999995053;0,169254434;-0,071428571;0,931034483;10,83333333;-0,489082969;-0,825;16,94936709;A;;;;;;;
-0,999996429;-0,093563066;0,107142857;-0,75862069;14,83333333;-0,493449782;-0,7875;26,29113924;A;;;;;;;
-0,999866194;-0,070044667;0,392857143;0,896551724;1,833333333;-0,065502183;-0,8875;16,51898734;A;;;;;;;
-0,999982337;0,082997716;0,178571429;0,551724138;13;0,113537118;-0,9;18,48101266;A;;;;;;;
-0,999893768;0,098039889;-0,25;-0,172413793;10,66666667;-0,76419214;-0,8375;21,65822785;A;;;;;;;
-0,999942001;0,009137944;-0,071428571;-0,965517241;8,666666667;-0,406113537;-0,8875;13,93670886;A;;;;;;;
-0,999889896;0,061814455;0,321428571;2;15,16666667;-0,301310044;-0,8;28,17721519;A;;;;;;;
-0,999992904;0,058432678;0,321428571;1,931034483;14,16666667;0,174672489;-0,95;13,56962025;A;;;;;;;
-0,999975176;0,066137039;-0,178571429;1,482758621;11,16666667;-0,956331878;-0,9375;29,20253165;A;;;;;;;
-0,999953017;-0,085927493;-0,178571429;0,413793103;9,833333333;0,11790393;-0,9625;16,51898734;A;;;;;;;
-0,999981842;-0,193159569;-0,035714286;0,827586207;-0,833333333;-1,004366812;-0,75;29,41772152;A;;;;;;;
-0,999996871;-0,053257401;-0,107142857;2,310344828;4,666666667;-0,995633188;-0,75;13,96202532;A;;;;;;;
-0,999923971;0,010514606;0,428571429;1,827586207;6,333333333;0,104803493;-0,85;17,88607595;A;;;;;;;
-0,999920816;-0,125062791;0,178571429;-0,482758621;2,333333333;-0,484716157;-0,7875;15,01265823;A;;;;;;;
-0,999973689;0,029906265;-0,285714286;0,793103448;7,833333333;-0,64628821;-0,8875;12,82278481;A;;;;;;;
